Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
22/09/2022 16:00,21/09/2022,"Calorific Value, LDZ(NE)",40.4,22/09/2022 16:03,
22/09/2022 16:00,21/09/2022,"Calorific Value, LDZ(NO)",40.2,22/09/2022 16:03,
22/09/2022 16:00,21/09/2022,"Calorific Value, LDZ(SC)",39.5,22/09/2022 16:03,
22/09/2022 16:00,21/09/2022,"Calorific Value, LDZ(SO)",40,22/09/2022 16:03,
22/09/2022 16:00,21/09/2022,"Calorific Value, LDZ(SW)",39.4,22/09/2022 16:03,
22/09/2022 16:00,20/09/2022,"Calorific Value, LDZ(NE)",40.4,22/09/2022 16:03,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(EA)",39.7,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(EM)",40,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(NE)",39.8,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(NO)",40.2,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(NT)",39.7,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(NW)",39.9,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(SC)",40,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(SE)",38.8,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(SO)",39.9,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(SW)",39.4,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(WM)",39.8,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(WN)",40,22/09/2022 10:35,
22/09/2022 10:30,22/09/2022,"Calorific Value, LDZ(WS)",39.4,22/09/2022 10:35,
22/09/2022 10:30,21/09/2022,"Calorific Value, Campbeltown",38.8,22/09/2022 10:35,
22/09/2022 10:30,21/09/2022,"Calorific Value, LDZ(EA)",39.5,22/09/2022 10:35,
22/09/2022 10:30,21/09/2022,"Calorific Value, LDZ(EM)",39.8,22/09/2022 10:35,
22/09/2022 10:30,21/09/2022,"Calorific Value, LDZ(NT)",39.4,22/09/2022 10:35,
22/09/2022 10:30,21/09/2022,"Calorific Value, LDZ(NW)",39.8,22/09/2022 10:35,
